trip_id,carrier,start_time,end_time,duration_hours,origin,destination,product_id,unit_quantity,weight,service_level,priority,plant_code,expected_delay_min,target_temp_c,distance_km,trip_id_raw,fruit_cate,Route,tpt_days,start_month,start_year,year_month
TRIP_69303,V444_1,2024-03-14 02:45:41+00:00,2024-04-17 13:45:41+00:00,827.0,VNSGN,USMIA,1002,739,1.6908310220188094,DTD,low,PLANT03,8,12.0,33080.0,1447191734.7,Tomato,VNSGN-USMIA,34.46,3,2024,2024-03
TRIP_73181,V444_1,2024-03-14 02:50:58+00:00,2024-03-24 02:50:58+00:00,240.0,VNSGN,KRINC,1002,1464,18.35117807569108,DTD,low,PLANT03,7,12.0,9600.0,1447145225.7,Tomato,VNSGN-KRINC,10.0,3,2024,2024-03
TRIP_82568,V444_1,2024-03-14 02:54:39+00:00,2024-03-21 01:54:39+00:00,167.0,VNSGN,CNSHA,1003,635,34.76786310013131,DTD,low,PLANT03,5,2.0,6680.0,1447306656.7,Orange,VNSGN-CNSHA,6.96,3,2024,2024-03
TRIP_21965,V444_0,2024-03-14 02:57:25+00:00,2024-04-21 02:57:25+00:00,912.0,VNSGN,USCHI,1004,690,28.79450874925531,DTP,low,PLANT03,0,7.0,36480.0,1447237193.7,Pineapple,VNSGN-USCHI,38.0,3,2024,2024-03
TRIP_18974,V444_0,2024-03-14 03:00:30+00:00,2024-03-18 05:00:30+00:00,98.0,VNSGN,CNSHA,1003,470,16.56,DTP,low,PLANT03,1,2.0,3920.0,1447403037.7,Orange,VNSGN-CNSHA,4.08,3,2024,2024-03
TRIP_115275,V444_1,2024-03-14 03:02:21+00:00,2024-03-21 06:02:21+00:00,171.0,VNSGN,CNSHA,1002,440,30.72,DTD,low,PLANT03,6,12.0,6840.0,1447413740.7,Tomato,VNSGN-CNSHA,7.12,3,2024,2024-03
TRIP_76623,V444_1,2024-03-14 03:12:49+00:00,2024-03-21 05:12:49+00:00,170.0,VNHPH,CNSHA,1004,1287,4.096305732484077,DTD,low,PLANT03,0,7.0,6800.0,1447306341.7,Pineapple,VNHPH-CNSHA,7.08,3,2024,2024-03
TRIP_87652,V444_1,2024-03-14 03:14:28+00:00,2024-03-21 06:14:28+00:00,171.0,VNSGN,CNSHA,1003,482,4.28,DTD,high,PLANT03,3,2.0,6840.0,1447405848.7,Orange,VNSGN-CNSHA,7.12,3,2024,2024-03
TRIP_76130,V444_1,2024-03-14 03:18:25+00:00,2024-03-19 03:18:25+00:00,120.0,VNHPH,CNSHA,1004,1494,67.8531971829453,DTD,low,PLANT03,1,7.0,4800.0,1447145112.7,Pineapple,VNHPH-CNSHA,5.0,3,2024,2024-03
TRIP_140638,V444_1,2024-03-14 03:18:40+00:00,2024-03-21 03:18:40+00:00,168.0,VNSGN,CNSHA,1003,361,1.7445446926102484,DTD,high,PLANT03,7,2.0,6720.0,1447411619.7,Orange,VNSGN-CNSHA,7.0,3,2024,2024-03
